127.0.0.1, 2019-08-02 14:24:37, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000372
127.0.0.1, 2019-08-02 14:24:42, GET, /, HTTP/1.1, 200, 0.025813
127.0.0.1, 2019-08-02 14:24:42, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2019-08-02 14:24:42, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000587
127.0.0.1, 2019-08-02 14:24:43, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.001177
127.0.0.1, 2019-08-02 14:24:43, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000301
127.0.0.1, 2019-08-02 14:25:44, GET, /, HTTP/1.1, 200, 0.017099
127.0.0.1, 2019-08-02 14:25:44, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000319
127.0.0.1, 2019-08-02 14:25:44, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001201
127.0.0.1, 2019-08-02 14:25:44, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000490
127.0.0.1, 2019-08-02 14:25:45, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000374
127.0.0.1, 2019-08-02 14:26:16, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000310
127.0.0.1, 2019-08-02 14:26:16, GET, /autorizador/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000277
127.0.0.1, 2019-08-02 14:30:14, GET, /, HTTP/1.1, 200, 0.061973
127.0.0.1, 2019-08-02 14:30:14, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 304, 0.000523
127.0.0.1, 2019-08-02 14:30:50, GET, /, HTTP/1.1, 200, 0.011577
127.0.0.1, 2019-08-02 14:31:41, GET, /, HTTP/1.1, 200, 0.023403
127.0.0.1, 2019-08-02 14:31:41, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2019-08-02 14:31:41, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000590
127.0.0.1, 2019-08-02 14:31:42, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000424
127.0.0.1, 2019-08-02 14:31:43, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000442
127.0.0.1, 2019-08-02 14:32:14, GET, /, HTTP/1.1, 200, 0.027764
127.0.0.1, 2019-08-02 14:32:14, GET, /autorizador/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2019-08-02 14:32:14, GET, /autorizador/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2019-08-02 14:32:14, GET, /autorizador/static/images/visie.svg, HTTP/1.1, 200, 0.000431
127.0.0.1, 2019-08-02 14:32:15, GET, /autorizador/static/images/visie.gif, HTTP/1.1, 200, 0.000441
127.0.0.1, 2019-08-02 14:32:25, GET, /, HTTP/1.1, 200, 0.011048
127.0.0.1, 2019-08-02 14:35:44, GET, /autorizador/painel/teste2, HTTP/1.1, 200, 0.064677
127.0.0.1, 2019-08-02 14:36:07, GET, /painel/teste2, HTTP/1.1, 200, 0.009670
127.0.0.1, 2019-08-02 14:36:40, GET, /painel/teste2, HTTP/1.1, 200, 0.006620
